image_path,label
/fssd1/user-data/dogoulis/stylegan3/1111.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0787.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0754.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0203.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0386.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1392.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1015.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0951.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1996.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0795.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0566.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1757.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0600.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0848.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0558.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0702.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0147.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0778.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0305.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0423.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0579.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0729.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1805.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1997.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0806.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1753.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1894.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0298.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0653.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1552.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0041.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0594.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0498.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0066.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0166.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1634.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0856.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0370.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1863.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1755.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0068.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0634.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1092.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1745.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0244.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0568.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1017.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0765.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1454.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0349.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0665.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0572.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1213.png,1.0
/fssd1/user-data/dogoulis/stylegan3/1128.png,1.0
/fssd1/user-data/dogoulis/stylegan3/0525.png,1.0
