Unnamed: 0,image_path,label
2323,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/043565.jpg,0
1158,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/200081.jpg,0
4305,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/10050.png,1
11271,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/9980.png,1
5639,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/25110.png,1
17259,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/117591.jpg,0
17112,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/171623.jpg,0
13386,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14924.png,1
1706,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/12550.png,1
3149,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22520.png,1
14323,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/098241.jpg,0
11638,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/123255.jpg,0
4445,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/027646.jpg,0
2835,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/091504.jpg,0
14536,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/188036.jpg,0
461,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19882.png,1
2876,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/131331.jpg,0
13756,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/23509.png,1
2394,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15655.png,1
5751,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/049490.jpg,0
18382,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/132393.jpg,0
2595,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19325.png,1
7040,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22476.png,1
6066,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/201323.jpg,0
15206,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/113448.jpg,0
1145,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/1616.png,1
18703,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/142245.jpg,0
10853,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/103632.jpg,0
9918,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21955.png,1
10540,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/059834.jpg,0
95,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/052261.jpg,0
9666,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19435.png,1
23036,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/122594.jpg,0
11007,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/181835.jpg,0
22023,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/097879.jpg,0
10909,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/039391.jpg,0
8958,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21364.png,1
11874,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/142769.jpg,0
11321,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/27436.png,1
13002,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19115.png,1
9229,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21769.png,1
1543,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/16440.png,1
2559,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14475.png,1
10839,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/2702.png,1
16954,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/125752.jpg,0
1443,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/148517.jpg,0
18095,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/121854.jpg,0
1191,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/1870.png,1
3043,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/004786.jpg,0
1007,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/1959.png,1
2419,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/16155.png,1
816,/home/dogoulis/WORKSPACE/data/OTHERS/celeba/190002.jpg,0
