,Unnamed: 0,image_path,label
0,0.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/94795.png,1
1,1.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/118609.png,1
2,2.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/76293.png,1
3,3.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/63642.png,1
4,4.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/108938.png,1
5,5.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/117876.png,1
6,6.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/84104.png,1
7,7.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/52659.png,1
8,8.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/94316.png,1
9,9.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/111467.png,1
10,10.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/64946.png,1
11,11.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/79729.png,1
12,12.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/50017.png,1
13,13.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/52274.png,1
14,14.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/98272.png,1
15,15.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/76079.png,1
16,16.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/86002.png,1
17,17.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/79720.png,1
18,18.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/69299.png,1
19,19.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/56891.png,1
20,20.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/56663.png,1
21,21.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/63675.png,1
22,22.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/61518.png,1
23,23.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/80165.png,1
24,24.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/56121.png,1
25,25.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/76619.png,1
26,26.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/53840.png,1
27,27.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/53743.png,1
28,28.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/71046.png,1
29,29.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/54959.png,1
30,30.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/111488.png,1
31,31.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/51170.png,1
32,32.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/52019.png,1
33,33.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/76645.png,1
34,34.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/79657.png,1
35,35.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/100269.png,1
36,36.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/111571.png,1
37,37.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/91011.png,1
38,38.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/80532.png,1
39,39.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/82501.png,1
40,40.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/87176.png,1
41,41.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/63261.png,1
42,42.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/74259.png,1
43,43.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/91943.png,1
44,44.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/103597.png,1
45,45.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/86088.png,1
46,46.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/110057.png,1
47,47.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/74188.png,1
48,48.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/56344.png,1
49,49.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/114240.png,1
50,50.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/63764.png,1
51,51.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/65853.png,1
52,52.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/74595.png,1
53,53.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/50639.png,1
54,54.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/101441.png,1
55,55.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/77728.png,1
56,56.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/56518.png,1
57,57.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/87064.png,1
58,58.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/95632.png,1
59,59.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/81288.png,1
60,60.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/87111.png,1
61,61.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/101058.png,1
62,62.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/87961.png,1
63,63.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/74136.png,1
64,64.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/99220.png,1
65,65.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/68376.png,1
66,66.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/63498.png,1
67,67.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/85127.png,1
68,68.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/110536.png,1
69,69.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/66558.png,1
70,70.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/101760.png,1
71,71.0,/home/dogoulis/WORKSPACE/data/stylegan2_new/108738.png,1
